Italiano,English,Part
cosa,thing,Noun
anno,year,Noun
uomo,man,Noun
giorno,day,Noun
volta,time,Noun
casa,home,Noun
parte,part,Noun
vita,life,Noun
tempo,time,Noun
donna,woman,Noun
mano,hand,Noun
occhio,eye,Noun
ora,now,Noun
signore,Mr.,Noun
paese,"country, town",Noun
momento,moment,Noun
modo,way,Noun
mondo,world,Noun
parola,word,Noun
padre,father,Noun
punto,point,Noun
lavoro,work,Noun
stato,state,Noun
caso,case,Noun
città,city,Noun
guerra,war,Noun
strada,street,Noun
figlio,son,Noun
notte,night,Noun
voce,voice,Noun
nome,name,Noun
sera,evening,Noun
acqua,water,Noun
amico,friend,Noun
fatto,done,Noun
gente,people,Noun
amore,love,Noun
storia,history,Noun
aria,air,Noun
forza,power,Noun
testa,head,Noun
ragione,reason,Noun
mare,sea,Noun
mese,month,Noun
capo,head,Noun
luce,light,Noun
sole,Sun,Noun
famiglia,family,Noun
piede,foot,Noun
persona,person,Noun
via,street,Noun
signora,Mrs.,Noun
governo,government,Noun
senso,sense,Noun
opera,Opera,Noun
prodotto,product,Noun
festa,party,Noun
gioco,game,Noun
prova,test,Noun
campagna,countryside,Noun
fiore,flower,Noun
sala,"room, hall",Noun
misura,measure,Noun
posizione,position,Noun
natura,nature,Noun
ufficio,office,Noun
specie,species,Noun
successo,success,Noun
zona,area,Noun
fuoco,fire,Noun
soldato,soldier,Noun
vista,view,Noun
libertà,freedom,Noun
risultato,result,Noun
importanza,importance,Noun
dubbio,doubt,Noun
ricerca,Research,Noun
dio,God,Noun
figura,figure,Noun
piazza,square,Noun
questione,question,Noun
nemico,enemy,Noun
pena,punishment,Noun
motivo,reason,Noun
esperienza,experience,Noun
ricordo,memory,Noun
albero,tree,Noun
politica,policy,Noun
processo,process,Noun
vino,wine,Noun
porta,door,Noun
sud,south,Noun
sogno,dream,Noun
cane,dog,Noun
isola,island,Noun
movimento,movement,Noun
mente,mind,Noun
occasione,opportunity,Noun
prezzo,price,Noun
causa,cause,Noun
periodo,period,Noun
sviluppo,development,Noun
sorella,sister,Noun
effetto,effect,Noun
giardino,garden,Noun
attività,activities,Noun
volontà,will,Noun
volto,face,Noun
base,basis,Noun
carattere,character,Noun
coscienza,consciousness,Noun
guardia,guard,Noun
memoria,memory,Noun
terreno,ground,Noun
animale,animal,Noun
direzione,direction,Noun
eccellenza,excellence,Noun
malattia,disease,Noun
scienza,science,Noun
funzione,function,Noun
conseguenza,result,Noun
parete,wall,Noun
dente,tooth,Noun
distanza,distance,Noun
gusto,taste,Noun
impressione,impression,Noun
istituto,institute,Noun
quadro,painting,Noun
attenzione,attention,Noun
autore,author,Noun
difficoltà,difficulty,Noun
passione,passion,Noun
commissione,commission,Noun
dito,finger,Noun
inizio,Start,Noun
programma,program,Noun
spettacolo,show,Noun
titolo,title,Noun
comunicazione,communication,Noun
fenomeno,phenomenon,Noun
maggio,May,Noun
stampa,press,Noun
denaro,money,Noun
destino,destiny,Noun
dovere,duty,Noun
ferro,iron,Noun
punta,tip,Noun
regno,kingdom,Noun
epoca,era,Noun
luna,moon,Noun
provincia,province,Noun
voglia,wish,Noun
differenza,difference,Noun
controllo,control,Noun
grazia,grace,Noun
passato,past,Noun
spazio,space,Noun
stella,star,Noun
corsa,race,Noun
erba,grass,Noun
massa,mass,Noun
origine,origin,Noun
polizia,police,Noun
soluzione,solution,Noun
chilometro,kilometer,Noun
madre,mother,Noun
paura,fear,Noun
cuore,heart,Noun
idea,idea,Noun
fondo,background,Noun
esempio,example,Noun
ordine,order,Noun
posto,place,Noun
campo,field,Noun
faccia,face,Noun
moglie,wife,Noun
ragazzo,boy,Noun
bisogno,need,Noun
cielo,sky,Noun
letto,bed,Noun
